"","epochs","hidden","hidden_dropout_ratios","input_dropout_ratio","l1","l2","stopping_tolerance","model_ids","logloss"
"1","2004.6914348559217","[25, 5]","[0.3, 0.3]","0.15","1.0E-8","1.0E-8","0.02","dl_grid_model_77","0.047414750933184154"
"2","2004.6914348559217","[25, 5]","[0.3, 0.3]","0.15","1.0E-8","1.0E-7","0.03","dl_grid_model_42","0.04868993873645489"
"3","2004.6914348559217","[25, 5]","[0.3, 0.3]","0.1","1.0E-7","1.0E-8","0.03","dl_grid_model_118","0.04869332296725478"
"4","2004.6914348559217","[25, 5]","[0.4, 0.4]","0.1","1.0E-7","1.0E-7","0.03","dl_grid_model_89","0.04903175435130142"
"5","2004.6914348559217","[30, 5]","[0.4, 0.4]","0.15","1.0E-6","1.0E-7","0.04","dl_grid_model_109","0.04920350449861259"
"6","3004.6736420766733","[30, 5]","[0.4, 0.4]","0.2","1.0E-7","1.0E-7","0.04","dl_grid_model_28","0.049534483704704736"
"7","2004.6914348559217","[30, 5]","[0.4, 0.4]","0.1","1.0E-8","1.0E-6","0.03","dl_grid_model_3","0.04974629285222684"
"8","3004.6736420766733","[25, 5]","[0.3, 0.3]","0.2","1.0E-6","1.0E-6","0.02","dl_grid_model_15","0.05039208947992191"
"9","2004.6914348559217","[30, 5]","[0.3, 0.3]","0.2","1.0E-6","1.0E-7","0.02","dl_grid_model_58","0.0506848151017883"
"10","3004.6736420766733","[30, 5]","[0.4, 0.4]","0.1","1.0E-8","1.0E-6","0.04","dl_grid_model_12","0.05093448125805169"
"11","3004.6736420766733","[30, 5]","[0.4, 0.4]","0.2","1.0E-7","1.0E-7","0.02","dl_grid_model_56","0.05105346213780396"
"12","3004.6736420766733","[30, 5]","[0.4, 0.4]","0.2","1.0E-6","1.0E-8","0.04","dl_grid_model_27","0.05111325716467312"
"13","3004.6736420766733","[25, 5]","[0.3, 0.3]","0.1","1.0E-6","1.0E-7","0.02","dl_grid_model_119","0.05125182916042581"
"14","2004.6914348559217","[25, 5]","[0.3, 0.3]","0.1","1.0E-8","1.0E-6","0.03","dl_grid_model_60","0.05126288710380901"
"15","2004.6914348559217","[25, 5]","[0.3, 0.3]","0.2","1.0E-7","1.0E-7","0.02","dl_grid_model_26","0.05140379032067253"
"16","2004.6914348559217","[25, 5]","[0.4, 0.4]","0.15","1.0E-7","1.0E-6","0.02","dl_grid_model_108","0.0517225154799324"
"17","2004.6914348559217","[25, 5]","[0.4, 0.4]","0.2","1.0E-8","1.0E-7","0.02","dl_grid_model_50","0.05208841220999418"
"18","2004.6914348559217","[30, 5]","[0.4, 0.4]","0.1","1.0E-6","1.0E-6","0.03","dl_grid_model_84","0.05213005048675158"
"19","3004.6736420766733","[30, 5]","[0.3, 0.3]","0.15","1.0E-7","1.0E-6","0.02","dl_grid_model_31","0.052294800465552085"
"20","2004.6914348559217","[25, 5]","[0.3, 0.3]","0.15","1.0E-7","1.0E-7","0.03","dl_grid_model_2","0.05239279987598995"
"21","2004.6914348559217","[25, 5]","[0.4, 0.4]","0.1","1.0E-7","1.0E-6","0.02","dl_grid_model_82","0.052421461525885386"
"22","3004.6736420766733","[25, 5]","[0.3, 0.3]","0.2","1.0E-7","1.0E-6","0.02","dl_grid_model_70","0.0524546999168332"
"23","2004.6914348559217","[30, 5]","[0.3, 0.3]","0.2","1.0E-8","1.0E-7","0.03","dl_grid_model_22","0.052806835635697484"
"24","2004.6914348559217","[25, 5]","[0.4, 0.4]","0.2","1.0E-7","1.0E-8","0.04","dl_grid_model_92","0.0528253347547858"
"25","3004.6736420766733","[30, 5]","[0.4, 0.4]","0.1","1.0E-8","1.0E-8","0.04","dl_grid_model_76","0.05288791396778341"
"26","2004.6914348559217","[25, 5]","[0.3, 0.3]","0.15","1.0E-6","1.0E-7","0.03","dl_grid_model_36","0.05329065897737918"
"27","3004.6736420766733","[25, 5]","[0.3, 0.3]","0.1","1.0E-7","1.0E-6","0.04","dl_grid_model_39","0.05331077956239208"
"28","3004.6736420766733","[25, 5]","[0.4, 0.4]","0.1","1.0E-6","1.0E-7","0.04","dl_grid_model_16","0.05373624090227628"
"29","2004.6914348559217","[30, 5]","[0.3, 0.3]","0.15","1.0E-7","1.0E-6","0.02","dl_grid_model_64","0.053853911426305065"
"30","2004.6914348559217","[30, 5]","[0.4, 0.4]","0.1","1.0E-6","1.0E-8","0.03","dl_grid_model_114","0.05386645076080777"
"31","2004.6914348559217","[30, 5]","[0.4, 0.4]","0.1","1.0E-8","1.0E-7","0.04","dl_grid_model_11","0.05387538616657752"
"32","3004.6736420766733","[30, 5]","[0.4, 0.4]","0.1","1.0E-7","1.0E-8","0.02","dl_grid_model_32","0.05392447956603627"
"33","3004.6736420766733","[25, 5]","[0.4, 0.4]","0.15","1.0E-6","1.0E-7","0.04","dl_grid_model_122","0.05401716033005727"
"34","3004.6736420766733","[30, 5]","[0.3, 0.3]","0.2","1.0E-8","1.0E-8","0.02","dl_grid_model_112","0.054182450395179785"
"35","2004.6914348559217","[25, 5]","[0.3, 0.3]","0.1","1.0E-7","1.0E-8","0.02","dl_grid_model_23","0.05425440088465006"
"36","3004.6736420766733","[25, 5]","[0.3, 0.3]","0.15","1.0E-6","1.0E-6","0.03","dl_grid_model_74","0.05450042776871215"
"37","2004.6914348559217","[30, 5]","[0.3, 0.3]","0.1","1.0E-8","1.0E-8","0.03","dl_grid_model_17","0.054932341078486616"
"38","2004.6914348559217","[25, 5]","[0.3, 0.3]","0.2","1.0E-6","1.0E-6","0.04","dl_grid_model_66","0.05497539224474168"
"39","2004.6914348559217","[30, 5]","[0.4, 0.4]","0.15","1.0E-6","1.0E-8","0.03","dl_grid_model_43","0.05532236144385983"
"40","3004.6736420766733","[30, 5]","[0.4, 0.4]","0.2","1.0E-6","1.0E-7","0.03","dl_grid_model_97","0.0557108547874476"
"41","2004.6914348559217","[25, 5]","[0.3, 0.3]","0.1","1.0E-8","1.0E-8","0.03","dl_grid_model_35","0.055749867064729244"
"42","2004.6914348559217","[25, 5]","[0.3, 0.3]","0.1","1.0E-6","1.0E-7","0.02","dl_grid_model_57","0.05590681587477872"
"43","2004.6914348559217","[30, 5]","[0.3, 0.3]","0.2","1.0E-8","1.0E-6","0.03","dl_grid_model_73","0.05607374353405834"
"44","2004.6914348559217","[25, 5]","[0.4, 0.4]","0.2","1.0E-6","1.0E-7","0.04","dl_grid_model_9","0.05608148251301247"
"45","3004.6736420766733","[30, 5]","[0.4, 0.4]","0.15","1.0E-8","1.0E-6","0.04","dl_grid_model_53","0.05608988499851482"
"46","3004.6736420766733","[25, 5]","[0.4, 0.4]","0.15","1.0E-6","1.0E-7","0.03","dl_grid_model_38","0.05625426941178884"
"47","2004.6914348559217","[25, 5]","[0.3, 0.3]","0.15","1.0E-6","1.0E-6","0.04","dl_grid_model_5","0.056640835456278425"
"48","3004.6736420766733","[25, 5]","[0.4, 0.4]","0.2","1.0E-7","1.0E-8","0.04","dl_grid_model_49","0.05672487656428053"
"49","3004.6736420766733","[25, 5]","[0.4, 0.4]","0.2","1.0E-6","1.0E-7","0.04","dl_grid_model_14","0.056787208580155187"
"50","2004.6914348559217","[30, 5]","[0.3, 0.3]","0.1","1.0E-7","1.0E-7","0.03","dl_grid_model_95","0.05694067371036437"
"51","2004.6914348559217","[30, 5]","[0.3, 0.3]","0.15","1.0E-7","1.0E-6","0.03","dl_grid_model_79","0.0569578595233026"
"52","2004.6914348559217","[30, 5]","[0.3, 0.3]","0.2","1.0E-8","1.0E-8","0.02","dl_grid_model_13","0.057466723197004146"
"53","2004.6914348559217","[25, 5]","[0.3, 0.3]","0.2","1.0E-7","1.0E-7","0.04","dl_grid_model_65","0.05760995728158993"
"54","3004.6736420766733","[30, 5]","[0.4, 0.4]","0.15","1.0E-8","1.0E-8","0.04","dl_grid_model_105","0.05791331160355514"
"55","2004.6914348559217","[25, 5]","[0.4, 0.4]","0.2","1.0E-6","1.0E-8","0.02","dl_grid_model_7","0.05815000686767478"
"56","2004.6914348559217","[25, 5]","[0.4, 0.4]","0.1","1.0E-8","1.0E-7","0.02","dl_grid_model_106","0.0582144093873287"
"57","2004.6914348559217","[30, 5]","[0.3, 0.3]","0.1","1.0E-6","1.0E-7","0.02","dl_grid_model_94","0.058739439947959986"
"58","2004.6914348559217","[30, 5]","[0.3, 0.3]","0.2","1.0E-6","1.0E-7","0.04","dl_grid_model_29","0.05900015361126343"
"59","3004.6736420766733","[30, 5]","[0.3, 0.3]","0.1","1.0E-7","1.0E-7","0.02","dl_grid_model_46","0.059359240690279674"
"60","2004.6914348559217","[25, 5]","[0.4, 0.4]","0.15","1.0E-8","1.0E-7","0.03","dl_grid_model_83","0.059573805445489486"
"61","2004.6914348559217","[30, 5]","[0.4, 0.4]","0.15","1.0E-6","1.0E-7","0.02","dl_grid_model_81","0.060873234959760825"
"62","3004.6736420766733","[25, 5]","[0.4, 0.4]","0.1","1.0E-8","1.0E-8","0.03","dl_grid_model_103","0.06155898471430512"
"63","2004.6914348559217","[25, 5]","[0.3, 0.3]","0.1","1.0E-6","1.0E-6","0.03","dl_grid_model_98","0.0618272942197224"
"64","2004.6914348559217","[30, 5]","[0.3, 0.3]","0.15","1.0E-6","1.0E-8","0.02","dl_grid_model_54","0.06284893105852546"
"65","3004.6736420766733","[25, 5]","[0.3, 0.3]","0.1","1.0E-6","1.0E-6","0.04","dl_grid_model_61","0.06340258028464263"
"66","3004.6736420766733","[25, 5]","[0.3, 0.3]","0.15","1.0E-6","1.0E-8","0.04","dl_grid_model_104","0.07164312766191135"
"67","2004.6914348559217","[30, 3]","[0.3, 0.3]","0.2","1.0E-7","1.0E-6","0.04","dl_grid_model_126","0.07458621688692496"
"68","3004.6736420766733","[30, 3]","[0.3, 0.3]","0.2","1.0E-6","1.0E-8","0.03","dl_grid_model_107","0.07548307979538871"
"69","2004.6914348559217","[30, 3]","[0.3, 0.3]","0.2","1.0E-6","1.0E-7","0.04","dl_grid_model_24","0.0763379753037797"
"70","2004.6914348559217","[25, 3]","[0.3, 0.3]","0.1","1.0E-6","1.0E-6","0.04","dl_grid_model_110","0.07757977176151189"
