variables,Variance,SD,Mean,Variable Type
profile_banner_default,0.176,0.42,0.771,binary
retweet_ratio,0.092,0.303,0.791,numeric
description_length,0.072,0.269,0.328,numeric
account_age,0.068,0.261,0.321,numeric
profile_image_default,0.048,0.218,0.05,binary
screen_name_length,0.03,0.173,0.755,numeric
geo_enabled,0.021,0.146,0.022,binary
URL_ratio,0.021,0.146,0.071,numeric
sd_word_count,0.019,0.136,0.268,numeric
screen_name_digits,0.016,0.127,0.063,numeric
median_sentiment,0.016,0.127,0.072,numeric
name_length,0.016,0.127,0.25,numeric
mean_sentiment,0.016,0.126,0.071,numeric
median_word_count,0.012,0.111,0.284,numeric
mean_word_count,0.011,0.107,0.283,numeric
verified,0.011,0.105,0.011,binary
sd_sentiment,0.009,0.097,0.168,numeric
median_n_hashtags,0.008,0.091,0.097,numeric
mean_n_hashtags,0.008,0.09,0.098,numeric
reply_ratio,0.006,0.077,0.043,numeric
sd_n_mentions,0.004,0.063,0.065,numeric
sd_n_hashtags,0.003,0.058,0.059,numeric
friends_follower_ratio,0.002,0.041,0.02,numeric
profile_background_default,0.001,0.035,0.999,binary
mean_n_mentions,0.001,0.032,0.016,numeric
median_n_mentions,0.001,0.03,0.012,numeric
name_digits,0.001,0.029,0.005,numeric
favourites_count,0.001,0.028,0.012,numeric
favourites_statuses_ratio,0.001,0.026,0.017,numeric
description_digits,0,0.018,0.006,numeric
listed_count,0,0.015,0.003,numeric
tweets_per_day,0,0.015,0.005,numeric
statuses_count,0,0.014,0.005,numeric
friends_count,0,0.014,0.004,numeric
followers_count,0,0.008,0.001,numeric
listed_statuses_ratio,0,0.003,0,numeric
